path,sentence,age,gender
common_voice_fr_17323684.mp3,Puis me regardant d'un air peu sympathique,fifties,female_feminine
common_voice_fr_19737278.mp3,Ronit est une jeune femme indépendante qui travaille comme photographe aux États-Unis.,fifties,female_feminine
common_voice_fr_22078126.mp3,cinq,fifties,female_feminine
common_voice_fr_22078130.mp3,non,fifties,female_feminine
common_voice_fr_22765327.mp3,La technique des statues de terre cuite témoigne du talent des coroplathes.,fifties,female_feminine
common_voice_fr_22765328.mp3,Le chœur est décoré d'une fresque de Jean Bernard.,fifties,female_feminine
common_voice_fr_17362525.mp3,la sienne.,fifties,female_feminine
common_voice_fr_17362526.mp3,"Quelque vite qu'il puisse courir, il est trop tard.",fifties,female_feminine
common_voice_fr_17362527.mp3,Je prendrai la même chose.,fifties,female_feminine
common_voice_fr_38580550.mp3,"Pendant ce temps, pas de choses changent au château.",fifties,female_feminine
common_voice_fr_38580551.mp3,Enfin elle partit prendre son parti.,fifties,female_feminine
common_voice_fr_38580552.mp3,"Les maisons des gardiens, à proximité, sont devenus des résidences privées.",fifties,female_feminine
common_voice_fr_19624145.mp3,Le processus de séchage dure environ trois semaines.,fifties,female_feminine
common_voice_fr_19624147.mp3,"René Bacharach le considère comme l'un des principaux écuyers anglais, bien au-delà de Newcastle.",fifties,female_feminine
common_voice_fr_19624150.mp3,Son ventre varie du crème au blanc sale et est tacheté de noir.,fifties,female_feminine
common_voice_fr_40115204.mp3,Elle se classe de l'épreuve.,fifties,female_feminine
common_voice_fr_40115205.mp3,"Au-dessus de chaque stalle, le blason de l’occupant est apposé.",fifties,female_feminine
common_voice_fr_40115206.mp3,Enlever pour le roi madame de Cossé.,fifties,female_feminine
common_voice_fr_19816362.mp3,Son siège social est situé à Montréal dans la province de Québec au Canada.,fifties,female_feminine
common_voice_fr_19816364.mp3,Il était un des plus importants représentants de l’art abstrait en Italie dans l'entre-deux-guerres.,fifties,female_feminine
common_voice_fr_19816367.mp3,John Arthur Jones dispute un seul match avec l'équipe du pays de Galles.,fifties,female_feminine
common_voice_fr_19752186.mp3,Qu’est-ce qu’on peut bien me vouloir?,fifties,female_feminine
common_voice_fr_19752188.mp3,"L'ordre des cétacés comprend entre autres les baleines, les dauphins et les marsouins.",fifties,female_feminine
common_voice_fr_19752189.mp3,La dextérité est essentielle à la réalisation d’activités de tous les jours.,fifties,female_feminine
common_voice_fr_17320854.mp3,Nous avions déposé des amendements en ce sens.,fifties,female_feminine
common_voice_fr_17320855.mp3,"Elles se poursuivent, dans un souci de maîtrise des dépenses et d’efficacité.",fifties,female_feminine
common_voice_fr_17320856.mp3,Continuer comme cela est donc d’une cohérence totale,fifties,female_feminine
common_voice_fr_19600338.mp3,Les conditions matérielles difficiles pourraient expliquer son départ.,fifties,female_feminine
common_voice_fr_19600339.mp3,C'est cette version qui est paru en France.,fifties,female_feminine
common_voice_fr_19600341.mp3,"La Chine a immédiatement réagi, en saluant les progrès accomplis.",fifties,female_feminine
common_voice_fr_19600342.mp3,"Prévue pour compter douze tomes, la série remporte un franc succès en Angleterre.",fifties,female_feminine
common_voice_fr_22740885.mp3,Je pars aujourd’hui de Bruxelles pour Guernesey.,fifties,female_feminine
common_voice_fr_22740887.mp3,Il a été fabriqué par Matisa.,fifties,female_feminine
common_voice_fr_22740888.mp3,"Il remplace l'Open de Varsovie, financièrement déficitaire.",fifties,female_feminine
common_voice_fr_22740889.mp3,Ils ont des pièces buccales de type broyeur.,fifties,female_feminine
common_voice_fr_19601979.mp3,Le conflit entre la France et l'Angleterre avait des dimensions autant culturelles que stratégiques.,fifties,female_feminine
common_voice_fr_19601995.mp3,Il est le premier à avoir été élu pendant trois mandats consécutifs.,fifties,female_feminine
common_voice_fr_19602005.mp3,"Au déclenchement de la guerre, il rejoint l’armée territoriale.",fifties,female_feminine
common_voice_fr_19602016.mp3,Juan Vicente Cárdenas fut élu premier Maire de Banes.,fifties,female_feminine
common_voice_fr_19008190.mp3,Il est aussi populaire parmi ceux intéressés par Victoria et les reconstitution historique.,fifties,female_feminine
common_voice_fr_19008191.mp3,"Il appelle Jong-goo, lui disant que Moo-myeong est le vrai démon.",fifties,female_feminine
